Sample in Buffer,Sample in Window,TRIGGER,M_ADC_DATA[11:0]
1290,1290,0,2068
1291,1291,0,1748
1292,1292,0,2326
1293,1293,0,2025
1294,1294,0,1768
1295,1295,0,2334
1296,1296,0,2010
1297,1297,0,1815
1298,1298,0,2345
1299,1299,0,1986
1300,1300,0,1825
1301,1301,0,2340
1302,1302,0,1980
1303,1303,0,1827
1304,1304,0,2338
1305,1305,0,1919
1306,1306,0,1877
1307,1307,0,2332
1308,1308,0,1923
1309,1309,0,1902
1310,1310,0,2324
1311,1311,0,1919
1312,1312,0,1926
1313,1313,0,2312
1314,1314,0,1890
1315,1315,0,1943
1316,1316,0,2303
1317,1317,0,1869
1318,1318,0,1975
1319,1319,0,2291
1320,1320,0,1861
1321,1321,0,2022
1322,1322,0,2269
1323,1323,0,1856
1324,1324,0,2025
1325,1325,0,2257
1326,1326,0,1859
1327,1327,0,2032
1328,1328,0,2238
1329,1329,0,1848
1330,1330,0,2056
1331,1331,0,2229
1332,1332,0,1855
1333,1333,0,2076
1334,1334,0,2207
1335,1335,0,1859
1336,1336,0,2086
1337,1337,0,2169
1338,1338,0,1860
1339,1339,0,2110
1340,1340,0,2166
1341,1341,0,1866
1342,1342,0,2122
1343,1343,0,2143
1344,1344,0,1873
1345,1345,0,2155
1346,1346,0,2114
1347,1347,0,1885
1348,1348,0,2150
1349,1349,0,2091
1350,1350,0,1893
1351,1351,0,2161
1352,1352,0,2072
1353,1353,0,1915
1354,1354,0,2175
1355,1355,0,2051
1356,1356,0,1927
1357,1357,0,2177
1358,1358,0,2036
1359,1359,0,1943
1360,1360,0,2174
1361,1361,0,2005
1362,1362,0,1956
1363,1363,0,2169
1364,1364,0,2009
1365,1365,0,1971
1366,1366,0,2167
1367,1367,0,2001
1368,1368,0,1991
1369,1369,0,2159
1370,1370,0,1991
1371,1371,0,1994
1372,1372,0,2157
1373,1373,0,1983
1374,1374,0,2006
1375,1375,0,2149
1376,1376,0,1977
1377,1377,0,2033
1378,1378,0,2140
1379,1379,0,1973
1380,1380,0,2034
1381,1381,0,2130
1382,1382,0,1968
1383,1383,0,2052
1384,1384,0,2118
1385,1385,0,1959
1386,1386,0,2077
1387,1387,0,2104
1388,1388,0,1960
1389,1389,0,2085
1390,1390,0,2094
1391,1391,0,1962
1392,1392,0,2100
1393,1393,0,2073
1394,1394,0,1964
1395,1395,0,2111
